HMDB04487,HMDB0004487
HMDB04586,HMDB0004586
HMDB04811,HMDB0004811
HMDB04814,HMDB0004814
HMDB04815,HMDB0004815
HMDB04816,HMDB0004816
HMDB04982,HMDB0004982
HMDB04983,HMDB0004983
HMDB04987,HMDB0004987
HMDB05000,HMDB0005000
HMDB05015,HMDB0005015
HMDB05018,HMDB0005018
HMDB05842,HMDB0005842
HMDB05846,HMDB0005846
HMDB06024,HMDB0006024
HMDB06050,HMDB0006050
HMDB06115,HMDB0006115
HMDB06355,HMDB0006355
HMDB11599,HMDB0011599
HMDB11600,HMDB0011600
HMDB11603_1,HMDB0011603
HMDB11603_2,HMDB0011603
HMDB11614,HMDB0011614
HMDB11632,HMDB0011632
HMDB11634,HMDB0011634
HMDB11723,HMDB0011723
HMDB11733,HMDB0011733
HMDB11745,HMDB0011745
HMDB11747_1,HMDB0011747
HMDB11747_2,HMDB0011747
HMDB11749,HMDB0011749
HMDB11751,HMDB0011751
HMDB28680,HMDB0028680
HMDB29943,HMDB0029943
HMDB31340,HMDB0031340
HMDB60256,HMDB0060256
bmse000011_1,bmse000011
bmse000011_2,bmse000011
bmse000018_1,bmse000018
bmse000018_2,bmse000018
bmse000058,bmse000058
bmse000066,bmse000066
bmse000069,bmse000069
bmse000070,bmse000070
bmse000072,bmse000072
bmse000073,bmse000073
bmse000076,bmse000076
bmse000078,bmse000078
bmse000080,bmse000080
bmse000083,bmse000083
bmse000086,bmse000086
bmse000087,bmse000087
bmse000089,bmse000089
bmse000092,bmse000092
bmse000093,bmse000093
bmse000096,bmse000096
bmse000099,bmse000099
bmse000101,bmse000101
bmse000102,bmse000102
bmse000104,bmse000104
bmse000109,bmse000109
bmse000110,bmse000110
bmse000112,bmse000112
bmse000113,bmse000113
bmse000114,bmse000114
bmse000120,bmse000120
bmse000121,bmse000121
bmse000123,bmse000123
bmse000129,bmse000129
bmse000130,bmse000130
bmse000131,bmse000131
bmse000133,bmse000133
bmse000137,bmse000137
bmse000144,bmse000144
bmse000145,bmse000145
bmse000146,bmse000146
bmse000147,bmse000147
bmse000150,bmse000150
